,Rank,Name,Market Cap,Price,Today,Price (30 days),Country
,24,CostcoCOST,$452.16 B,"$1,018",1.96%,,🇺🇸 USA
,25,SK Hynix000660.KS,$422.03 B,$611.25,0.90%,,🇰🇷 S. Korea
,26,AbbVieABBV,$409.14 B,$231.50,1.76%,,🇺🇸 USA
,27,Home DepotHD,$389.29 B,$391.05,0.21%,,🇺🇸 USA
,28,Bank of America BAC,$383.74 B,$52.55,0.06%,,🇺🇸 USA
,29,Procter & GamblePG,$374.04 B,$160.07,0.71%,,🇺🇸 USA
,30,RocheROG.SW,$372.26 B,$467.90,0.11%,,🇨🇭 Switzerland
,31,AlibabaBABA,$371.77 B,$155.73,1.89%,,🇨🇳 China
,32,ChevronCVX,$367.36 B,$183.74,0.73%,,🇺🇸 USA
,33,ICBC1398.HK,$365.88 B,$0.82,0.16%,,🇨🇳 China
,34,CaterpillarCAT,$362.69 B,$774.20,2.10%,,🇺🇸 USA
,35,Coca-ColaKO,$338.45 B,$78.68,0.41%,,🇺🇸 USA
,36,AMDAMD,$338.01 B,$207.32,0.67%,,🇺🇸 USA
,37,General ElectricGE,$332.69 B,$315.41,0.81%,,🇺🇸 USA
,38,Agricultural Bank of China601288.SS,$330.04 B,$0.94,1.51%,,🇨🇳 China
,39,China Construction Bank601939.SS,$329.69 B,$1.26,1.25%,,🇨🇳 China
,40,NetflixNFLX,$326.07 B,$76.87,1.33%,,🇺🇸 USA
,41,ToyotaTM,$325.13 B,$248.29,2.75%,,🇯🇵 Japan
,42,AstraZenecaAZN,$318.66 B,$205.55,0.50%,,🇬🇧 UK
,43,NovartisNVS,$315.28 B,$163.10,1.19%,,🇨🇭 Switzerland
,44,PalantirPLTR,$313.20 B,$131.41,1.74%,,🇺🇸 USA
,45,LVMHMC.PA,$305.97 B,$616.54,1.03%,,🇫🇷 France
,46,CiscoCSCO,$303.64 B,$76.85,2.47%,,🇺🇸 USA
,47,MerckMRK,$303.25 B,$121.41,1.82%,,🇺🇸 USA
,48,Lam ResearchLRCX,$295.83 B,$235.53,1.83%,,🇺🇸 USA
,49,HSBCHSBC,$292.33 B,$85.15,1.89%,,🇬🇧 UK
,50,Philip Morris InternationalPM,$291.89 B,$187.51,0.76%,,🇺🇸 USA
,51,PetroChina0857.HK,$288.40 B,$1.17,1.44%,,🇨🇳 China
,52,Applied MaterialsAMAT,$281.69 B,$354.91,8.08%,,🇺🇸 USA
,53,Goldman SachsGS,$274.00 B,$905.14,0.07%,,🇺🇸 USA
,54,Wells FargoWFC,$273.03 B,$86.98,0.80%,,🇺🇸 USA
,55,Morgan StanleyMS,$272.01 B,$171.15,1.84%,,🇺🇸 USA
,56,Kweichow Moutai600519.SS,$269.43 B,$215.16,0.09%,,🇨🇳 China
,57,RTXRTX,$268.53 B,$200.06,0.54%,,🇺🇸 USA
,58,NestléNESN.SW,$267.40 B,$103.94,0.38%,,🇨🇭 Switzerland
,59,UnitedHealthUNH,$265.58 B,$293.19,3.10%,,🇺🇸 USA
